event_id,event_file,event_file_status,bouts_total,tba_bouts,missing_fighters_count,missing_matchups_count,missing_predictions_count,main_event_runnable,stubs_created_count,status
ufc_fight_night_moicano_vs_duncan_2026_04_04,C:/ai_risa_data/events\ufc_fight_night_moicano_vs_duncan_2026_04_04.json,written,0,0,0,0,0,True,0,ready
ufc_327_procházka_vs_ulberg_2026_04_11,C:/ai_risa_data/events\ufc_327_procházka_vs_ulberg_2026_04_11.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_burns_vs_malott_ufc_winnipeg_2026_04_18,C:/ai_risa_data/events\ufc_fight_night_burns_vs_malott_ufc_winnipeg_2026_04_18.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_sterling_vs_zalal_2026_04_25,C:/ai_risa_data/events\ufc_fight_night_sterling_vs_zalal_2026_04_25.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_della_maddalena_vs_prates_2026_05_02,C:/ai_risa_data/events\ufc_fight_night_della_maddalena_vs_prates_2026_05_02.json,written,0,0,0,0,0,True,0,ready
ufc_328_chimaev_vs_strickland_2026_05_09,C:/ai_risa_data/events\ufc_328_chimaev_vs_strickland_2026_05_09.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_allen_vs_costa_2026_05_16,C:/ai_risa_data/events\ufc_fight_night_allen_vs_costa_2026_05_16.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_song_vs_figueiredo_2026_05_30,C:/ai_risa_data/events\ufc_fight_night_song_vs_figueiredo_2026_05_30.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_adesanya_vs_pyfer_2026_03_28,C:/ai_risa_data/events\ufc_fight_night_adesanya_vs_pyfer_2026_03_28.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_evloev_vs_murphy_ufc_london_2026_03_21,C:/ai_risa_data/events\ufc_fight_night_evloev_vs_murphy_ufc_london_2026_03_21.json,written,0,0,0,0,0,True,0,ready
ufc_fight_night_emmett_vs_vallejos_2026_03_14,C:/ai_risa_data/events\ufc_fight_night_emmett_vs_vallejos_2026_03_14.json,written,0,0,0,0,0,True,0,ready
ufc_326_holloway_vs_oliveira_2_2026_03_07,C:/ai_risa_data/events\ufc_326_holloway_vs_oliveira_2_2026_03_07.json,written,0,0,0,0,0,True,0,ready
lfa_230_bartling_vs_cleveland_2026_04_03,C:/ai_risa_data/events\lfa_230_bartling_vs_cleveland_2026_04_03.json,written,0,0,0,0,0,True,0,ready
lfa_231_trembley_vs_johns_2026_04_17,C:/ai_risa_data/events\lfa_231_trembley_vs_johns_2026_04_17.json,written,0,0,0,0,0,True,0,ready
lfa_232_visconde_vs_pintos_2026_05_15,C:/ai_risa_data/events\lfa_232_visconde_vs_pintos_2026_05_15.json,written,0,0,0,0,0,True,0,ready
ares_fc_ares_39_2026_04_03,C:/ai_risa_data/events\ares_fc_ares_39_2026_04_03.json,written,0,0,0,0,0,True,0,ready
ares_fc_ares_40_2026_04_10,C:/ai_risa_data/events\ares_fc_ares_40_2026_04_10.json,written,0,0,0,0,0,True,0,ready
ares_fc_ares_paris_juin_2026_06_06,C:/ai_risa_data/events\ares_fc_ares_paris_juin_2026_06_06.json,written,0,0,0,0,0,True,0,ready
ares_fc_ares_paris_septembre_2026_09_25,C:/ai_risa_data/events\ares_fc_ares_paris_septembre_2026_09_25.json,written,0,0,0,0,0,True,0,ready
ares_fc_ares_strasbourg_2026_10_31,C:/ai_risa_data/events\ares_fc_ares_strasbourg_2026_10_31.json,written,0,0,0,0,0,True,0,ready
ares_fc_ares_paris_novembre_2026_11_07,C:/ai_risa_data/events\ares_fc_ares_paris_novembre_2026_11_07.json,written,0,0,0,0,0,True,0,ready
